baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G33600	49.0121081636243	-1.68937526888033	0.429627717004316	-3.93218407941628	8.41775662611773e-05	0.00206236025634797
AT1G36060	1369.21253618619	-0.76564173608256	0.135091356381122	-5.66758493358021	1.44824271842081e-08	7.03632395406017e-07
AT1G43160	345.488882134715	-0.891186641024797	0.182341688956437	-4.88745413144501	1.02148283816858e-06	3.83939164449602e-05
AT1G48350	345.803177967391	-0.550238301401907	0.134378019221693	-4.09470465920577	4.22706879043867e-05	0.00112825281664797
AT1G50060	637.431619404602	-0.518391406414988	0.114961350124315	-4.50926686103127	6.50520386982014e-06	0.000211028813536965
AT1G50110	287.39915606583	-0.932911528901926	0.171821130632934	-5.42955063481063	5.64961227261983e-08	2.54546419616371e-06
AT1G52230	141.295007904335	-0.635552697596939	0.201972759676934	-3.14672482870234	0.00165110268403147	0.0253569928590586
AT1G52820	177.065269962524	-5.23073425276658	0.335189635677593	-15.6052983028325	6.69958568862432e-55	1.96204810875462e-52
AT1G53560	156.537749821053	-0.631297501263035	0.188649871399348	-3.34639772919144	0.000818688735611075	0.0142550542354212
AT1G56680	540.496335666135	-0.51078939337895	0.110949152952103	-4.60381516927361	4.14820648577037e-06	0.00014126073967693
AT1G58290	1443.40743667432	-1.21541302087369	0.110060316014919	-11.0431540166479	2.36580162167357e-28	3.95915023766737e-26
AT1G58340	200.565421023003	-1.02779978732222	0.165137907527096	-6.22388767493366	4.84984357774995e-10	2.85288455517283e-08
AT1G60050	50.6383519640974	-1.20154091756877	0.34549564532029	-3.47773100426458	0.000505677114685297	0.00963868840443351
AT1G60140	1290.6563450397	-0.557457994528187	0.131060438200353	-4.2534421689938	2.10509322255044e-05	0.000607222923265369
AT1G60160	120.617745548501	-1.0481246954093	0.218358079164499	-4.80002709045494	1.58644169111599e-06	5.74771640874084e-05
AT1G60960	809.184000428223	-0.917246923693446	0.0953195248755179	-9.6228650414626	6.40225821524045e-22	7.58415824306518e-20
AT1G61520	272.270657546486	-0.602810637566006	0.153690177895249	-3.92224568818487	8.77274685217556e-05	0.0021409969921872
