baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G16150	267.091673403862	1.49832436630025	0.161434815995127	9.28129633663085	1.67428936751982e-20	1.84898125494824e-18
AT1G16160	187.424513210904	0.693562190008067	0.191694422951352	3.61806138817132	0.000296818002523983	0.00615441802091994
AT1G16540	314.792412026686	0.538652196179729	0.13666045613167	3.94153664803188	8.09612617591793e-05	0.00199341043136817
AT1G17170	1009.3427172697	0.595759764575802	0.120347304295888	4.95033742601375	7.40849216406778e-07	2.85064718561192e-05
AT1G17180	1535.19063817546	0.525037057375634	0.0732856021075449	7.16425931256121	7.82082420766925e-13	5.84786876747921e-11
AT1G18210	234.490953794153	0.69401644544375	0.23964220229132	2.89605269359056	0.00377888941419819	0.0481169457655694
AT1G18910	3470.64397775652	1.781100927732	0.0773350700367841	23.0309602989281	2.28275374142297e-117	1.5041920434889e-114
AT1G19850	951.145336653396	0.976347811538471	0.144517422036049	6.75591771416269	1.41933959157451e-11	9.51056343927425e-10
AT1G21450	877.985616003148	0.511703423850694	0.138412273801373	3.69695121535975	0.000218204254092853	0.00470937042149632
AT1G21860	16.9729018192102	6.42303009841561	1.31704179197449	4.87686126405017	1.0778718865008e-06	4.02978840403472e-05
AT1G22065	641.546516847896	0.709324736351892	0.131027962993158	5.41353708130938	6.17917906394421e-08	2.76046969793067e-06
AT1G22410	12180.6350489184	0.688510781177559	0.0660061083583265	10.4310161332319	1.78964095102142e-25	2.58468281460533e-23
AT1G22540	426.578339598631	0.52606732020338	0.134201662241922	3.9199761866962	8.85577186355874e-05	0.00215876075739884
AT1G22930	8390.36782099081	1.11814719951752	0.0716047395465412	15.615547331064	5.70534099988976e-55	1.69440592005177e-52
AT1G23020	2593.64744515495	3.57441996599156	0.0764567029614222	46.7509038127776	0	0
AT1G23140	169.09164537662	0.738945994744535	0.196931155315542	3.75230619837945	0.00017521527279045	0.00390136139605008
AT1G23995	17.5453559567518	4.26424143811271	0.93745007081546	4.54876645793346	5.39612871293345e-06	0.00017897047073997
AT1G24320	941.474093815654	1.21437512186501	0.108407851554352	11.2019111572944	3.99030949482177e-29	6.84062325266764e-27
AT1G25480	580.874383552667	1.05265709699386	0.108063500643906	9.74109750953386	2.01367646730067e-22	2.48306327423988e-20
AT1G27030	2194.35340097736	0.539841730193894	0.0746646179293851	7.23022155828154	4.82206692115163e-13	3.67068964257774e-11
AT1G27740	156.542713934104	0.678520494160974	0.225068696193856	3.01472619531484	0.00257211338464433	0.0357754504146506
AT1G28680	2357.80388306303	0.938511809417583	0.0969644917815278	9.67892258469377	3.7060082122177e-22	4.44005052061491e-20
